ProfID,OBJECTID,HorNO,HorID,DepthFrom,DepthTo,SOC
P0058,25707,3,P0058H03,41,60,0.9
P0059,25708,1,P0059H01,0,5,3.8
P0060,25709,1,P0060H01,0,8,2.5
P0061,25710,1,P0061H01,0,10,4.3
P0062,25711,1,P0062H01,0,6,6.3
P0063,25712,1,P0063H01,0,12,2.5
P0063,25713,2,P0063H02,12,32,1.6
P0064,25714,1,P0064H01,0,8,3.5
P0066,25715,1,P0066H01,0,8,3.8
P0067,25716,1,P0067H01,0,28,2.3
P0068,25717,1,P0068H01,0,14,2.5
P0068,25718,2,P0068H02,14,22,1.7
P0069,25719,1,P0069H01,0,20,2.7
P0071,25720,1,P0071H01,0,10,5.1
P0072,25721,1,P0072H01,0,17,3.0
P0072,25722,2,P0072H02,17,27,2.1
P0073,25723,1,P0073H01,0,18,2.5
P0074,25724,1,P0074H01,0,14,1.9
P0074,25725,2,P0074H02,14,32,1.3
P0075,25726,1,P0075H01,0,12,2.9
P0075,25727,2,P0075H02,12,28,2.6
P0076,25728,1,P0076H01,0,22,1.9
P0076,25729,2,P0076H02,22,34,1.0
P0077,25730,1,P0077H01,0,20,3.3
P0077,25731,2,P0077H02,20,34,2.9
P0078,25732,1,P0078H01,0,15,5.3
P0078,25733,2,P0078H02,15,27,3.8
P0079,25734,1,P0079H01,0,15,2.3
P0079,25735,2,P0079H02,15,27,1.4
P0080,25736,1,P0080H01,0,16,2.7
P0080,25737,2,P0080H02,16,30,1.3
P0081,25738,1,P0081H01,0,15,1.1
P0082,25739,1,P0082H01,0,14,3.3
P0082,25740,2,P0082H02,14,30,1.3
P0082,25741,3,P0082H03,30,50,1.1
P0083,25742,1,P0083H01,0,14,1.8
P0083,25743,2,P0083H02,14,28,1.1
P0084,25744,1,P0084H01,0,12,1.9
P0084,25745,2,P0084H02,12,32,1.3
P0085,25746,1,P0085H01,0,10,3.5
P0086,25747,1,P0086H01,0,15,2.2
P0087,25748,1,P0087H01,0,16,1.8
P0088,25749,1,P0088H01,0,17,3.2
P0088,25750,2,P0088H02,17,35,2.9
P0089,25751,1,P0089H01,0,18,2.3
P0089,25752,2,P0089H02,18,33,1.7
P0090,25753,1,P0090H01,0,15,1.3
P0090,25754,2,P0090H02,15,27,1.0
P0091,25755,1,P0091H01,0,16,2.9
P0091,25756,2,P0091H02,16,34,1.6
P0092,25757,1,P0092H01,0,15,2.0
P0092,25758,2,P0092H02,15,32,0.9
P0092,25759,3,P0092H03,32,53,0.6
P0092,25760,4,P0092H04,53,84,0.4
P0093,25761,1,P0093H01,0,12,3.8
P0093,25762,2,P0093H02,12,27,2.7
P0094,25763,1,P0094H01,0,13,3.6
P0094,25764,2,P0094H02,13,24,1.9
P0095,25765,1,P0095H01,0,14,3.4
P0095,25766,2,P0095H02,14,28,3.1
P0096,25767,1,P0096H01,0,10,1.8
P0097,25768,1,P0097H01,0,13,4.6
P0097,25769,2,P0097H02,13,27,2.4
P0098,25770,1,P0098H01,0,18,5.2
P0099,25771,1,P0099H01,0,10,6.0
P0100,25772,1,P0100H01,0,16,5.3
P0100,25773,2,P0100H02,16,37,4.4
P0101,25774,1,P0101H01,0,18,0.9
P0102,25775,1,P0102H01,0,17,0.9
P0103,25776,1,P0103H01,0,15,1.6
P0103,25777,2,P0103H02,15,32,1.2
P0104,25778,1,P0104H01,0,14,1.0
P0104,25779,2,P0104H02,14,29,0.7
P0105,25780,1,P0105H01,0,12,2.0
P0105,25781,2,P0105H02,12,37,1.8
P0106,25782,1,P0106H01,0,22,1.9
P0106,25783,2,P0106H02,22,36,1.6
P0106,25784,3,P0106H03,36,50,0.7
P0107,25785,1,P0107H01,0,22,1.6
P0107,25786,2,P0107H02,22,33,1.1
P0107,25787,3,P0107H03,33,70,0.7
P0108,25788,1,P0108H01,0,25,2.1
P0108,25789,2,P0108H02,25,40,1.8
P0108,25790,3,P0108H03,40,62,1.1
P0109,25791,1,P0109H01,0,16,2.1
P0109,25792,2,P0109H02,16,35,1.3
P0110,25793,1,P0110H01,0,16,2.8
P0110,25794,2,P0110H02,16,37,1.4
P0111,25795,1,P0111H01,0,18,2.2
P0111,25796,2,P0111H02,18,41,1.4
P0111,25797,3,P0111H03,41,55,0.9
P0112,25798,1,P0112H01,0,25,2.0
P0112,25799,2,P0112H02,25,37,1.9
P0112,25800,3,P0112H03,37,70,0.9
P0114,25801,1,P0114H01,0,16,2.0
P0114,25802,2,P0114H02,16,35,1.5
P0115,25803,1,P0115H01,0,22,1.2
P0116,25804,1,P0116H01,0,23,0.9
P0116,25805,2,P0116H02,23,36,0.6
P0116,25806,3,P0116H03,36,55,0.4
P0117,25807,1,P0117H01,0,13,3.4
P0118,25808,1,P0118H01,0,18,3.1
P0118,25809,2,P0118H02,18,43,2.4
P0119,25810,1,P0119H01,0,20,2.1
P0119,25811,2,P0119H02,20,43,1.1
P0120,25812,1,P0120H01,0,17,2.0
P0120,25813,2,P0120H02,17,37,0.9
P0120,25814,3,P0120H03,37,53,0.6
P0122,25815,1,P0122H01,0,20,5.0
P0122,25816,2,P0122H02,20,46,3.2
P0123,25817,1,P0123H01,0,30,2.3
P0123,25818,2,P0123H02,30,58,1.8
P0123,25819,3,P0123H03,58,70,1.1
P0124,25820,1,P0124H01,0,18,1.6
P0124,25821,2,P0124H02,18,30,1.6
P0125,25822,1,P0125H01,0,20,3.4
P0125,25823,2,P0125H02,20,35,2.5
P0126,25824,1,P0126H01,0,20,2.9
